 itr,            f,   df_abs[%],   df_rel[%],        c1: =,       c1_ref,      len_C1,  adj_len_C1,        c2: =,       c2_ref,      len_C2,  adj_len_C2,        c3: =,       c3_ref,      len_C3,  adj_len_C3,     bi_itrs,      bi_err, test_norm_dX_bar,     norm_dX, step_length,               time_stamp
  19,  8.29099E-01,  3.66672E+01, -9.08254E-01,  8.82657E-02,  8.82659E-02,   -0.000115,   -0.000115,  1.00006E+00,  9.99971E-01,    0.052274,    0.052274,  2.04084E+00,  2.03955E+00,    0.386897,    0.386897,           0,   -0.038646,         0.914755,    0.000806, 8.38861E-04, Mon Jul  1 13:49:24 2024
  20,  8.31969E-01,  3.71402E+01,  4.73002E-01,  8.82674E-02,  8.82659E-02,    0.000949,    0.000949,  1.00003E+00,  9.99971E-01,    0.033381,    0.033381,  2.04079E+00,  2.03955E+00,    0.372019,    0.372019,           0,   -0.040280,         0.923957,    0.000805, 8.38861E-04, Mon Jul  1 13:49:30 2024
  21,  8.34688E-01,  3.75885E+01,  4.48285E-01,  8.82674E-02,  8.82659E-02,    0.001125,    0.001125,  1.00003E+00,  9.99971E-01,    0.042485,    0.042485,  2.04080E+00,  2.03955E+00,    0.469033,    0.406250,           3,    0.005014,         1.165486,    0.000668, 6.71089E-04, Mon Jul  1 13:49:34 2024
  22,  8.30280E-01,  3.68618E+01, -7.26705E-01,  8.82657E-02,  8.82659E-02,   -0.000183,   -0.000183,  1.00004E+00,  9.99971E-01,    0.064919,    0.064919,  2.04067E+00,  2.03955E+00,    0.526387,    0.426563,           5,    0.009347,         1.261164,    0.000532, 5.36871E-04, Mon Jul  1 13:49:39 2024
  23,  8.26814E-01,  3.62905E+01, -5.71358E-01,  8.82656E-02,  8.82659E-02,   -0.000225,   -0.000225,  1.00003E+00,  9.99971E-01,    0.051741,    0.051741,  2.04053E+00,  2.03955E+00,    0.457700,    0.416406,           6,    0.005080,         1.106626,    0.000534, 5.36871E-04, Mon Jul  1 13:49:44 2024
  24,  8.23375E-01,  3.57237E+01, -5.66753E-01,  8.82656E-02,  8.82659E-02,   -0.000290,   -0.000290,  1.00003E+00,  9.99971E-01,    0.051974,    0.051974,  2.04041E+00,  2.03955E+00,    0.402650,    0.402650,           0,   -0.044568,         0.955432,    0.000502, 5.36871E-04, Mon Jul  1 13:49:49 2024
  25,  8.24637E-01,  3.59317E+01,  2.08020E-01,  8.82663E-02,  8.82659E-02,    0.000438,    0.000438,  1.00001E+00,  9.99971E-01,    0.036797,    0.036797,  2.04037E+00,  2.03955E+00,    0.384275,    0.384275,           0,   -0.054935,         0.945065,    0.000507, 5.36871E-04, Mon Jul  1 13:49:54 2024
  26,  8.26061E-01,  3.61663E+01,  2.34606E-01,  8.82663E-02,  8.82659E-02,    0.000548,    0.000548,  1.00001E+00,  9.99971E-01,    0.044816,    0.044816,  2.04036E+00,  2.03955E+00,    0.477280,    0.411328,           7,    0.001331,         1.177051,    0.000429, 4.29497E-04, Mon Jul  1 13:50:00 2024
  27,  8.23303E-01,  3.57117E+01, -4.54614E-01,  8.82656E-02,  8.82659E-02,   -0.000390,   -0.000390,  1.00002E+00,  9.99971E-01,    0.065075,    0.065075,  2.04028E+00,  2.03955E+00,    0.536390,    0.431641,           7,    0.000647,         1.283573,    0.000344, 3.43597E-04, Mon Jul  1 13:50:05 2024
  28,  8.21109E-01,  3.53501E+01, -3.61568E-01,  8.82656E-02,  8.82659E-02,   -0.000363,   -0.000363,  1.00001E+00,  9.99971E-01,    0.052165,    0.052165,  2.04019E+00,  2.03955E+00,    0.469126,    0.416406,           6,    0.008843,         1.133395,    0.000341, 3.43597E-04, Mon Jul  1 13:50:10 2024
