 itr,            f,   df_abs[%],   df_rel[%],        c1: =,       c1_ref,      len_C1,  adj_len_C1,        c2: =,       c2_ref,      len_C2,  adj_len_C2,        c3: =,       c3_ref,      len_C3,  adj_len_C3,     bi_itrs,      bi_err, test_norm_dX_bar,     norm_dX, step_length,               time_stamp
  19,  1.30255E+00,  6.04640E+01, -4.56137E+00,  8.83508E-02,  8.82659E-02,    0.017884,    0.017884,  1.00022E+00,  9.99971E-01,    0.053280,    0.053280,  2.04343E+00,  2.03955E+00,    0.401507,    0.401507,           3,    0.005797,         0.919855,    0.002575, 2.56000E-03, Thu Jun  6 13:40:38 2024
  20,  1.31519E+00,  6.20212E+01,  1.55719E+00,  8.83716E-02,  8.82659E-02,    0.022299,    0.022299,  1.00012E+00,  9.99971E-01,    0.031038,    0.031038,  2.04338E+00,  2.03955E+00,    0.396821,    0.396821,           5,    0.000152,         0.960919,    0.002560, 2.56000E-03, Thu Jun  6 13:44:41 2024
  21,  1.32567E+00,  6.33121E+01,  1.29087E+00,  8.83758E-02,  8.82659E-02,    0.023232,    0.023232,  1.00013E+00,  9.99971E-01,    0.033283,    0.033283,  2.04351E+00,  2.03955E+00,    0.411146,    0.411146,           0,    0.008566,         0.991434,    0.002701, 2.56000E-03, Thu Jun  6 13:47:55 2024
  22,  1.33774E+00,  6.47990E+01,  1.48689E+00,  8.83811E-02,  8.82659E-02,    0.024402,    0.024402,  1.00013E+00,  9.99971E-01,    0.033677,    0.033677,  2.04367E+00,  2.03955E+00,    0.427463,    0.427463,           0,   -0.096451,         1.031459,    0.002313, 2.56000E-03, Thu Jun  6 13:52:01 2024
  23,  1.32977E+00,  6.38166E+01, -9.82391E-01,  8.83761E-02,  8.82659E-02,    0.023363,    0.023363,  1.00017E+00,  9.99971E-01,    0.042980,    0.042980,  2.04344E+00,  2.03955E+00,    0.404593,    0.404593,           3,    0.004283,         0.947328,    0.002549, 2.56000E-03, Thu Jun  6 13:52:31 2024
  24,  1.34024E+00,  6.51074E+01,  1.29078E+00,  8.83762E-02,  8.82659E-02,    0.029259,    0.029259,  1.00012E+00,  9.99971E-01,    0.040295,    0.040295,  2.04347E+00,  2.03955E+00,    0.509442,    0.426563,           5,    0.009441,         1.224476,    0.002067, 2.04800E-03, Thu Jun  6 13:53:31 2024
  25,  1.31062E+00,  6.14580E+01, -3.64934E+00,  8.83423E-02,  8.82659E-02,    0.025311,    0.025311,  1.00017E+00,  9.99971E-01,    0.067046,    0.067046,  2.04280E+00,  2.03955E+00,    0.527937,    0.446875,           4,    0.004796,         1.205090,    0.001631, 1.63840E-03, Thu Jun  6 13:53:53 2024
  26,  1.28879E+00,  5.87685E+01, -2.68957E+00,  8.83252E-02,  8.82659E-02,    0.019635,    0.019635,  1.00013E+00,  9.99971E-01,    0.052728,    0.052728,  2.04214E+00,  2.03955E+00,    0.421656,    0.421656,           3,    0.006188,         0.962299,    0.001628, 1.63840E-03, Thu Jun  6 13:55:16 2024
  27,  1.29512E+00,  5.95482E+01,  7.79782E-01,  8.83350E-02,  8.82659E-02,    0.022904,    0.022904,  1.00007E+00,  9.99971E-01,    0.032795,    0.032795,  2.04209E+00,  2.03955E+00,    0.412841,    0.412841,           5,    0.004801,         0.986859,    0.001631, 1.63840E-03, Thu Jun  6 13:56:01 2024
  28,  1.30084E+00,  6.02528E+01,  7.04546E-01,  8.83367E-02,  8.82659E-02,    0.023497,    0.023497,  1.00007E+00,  9.99971E-01,    0.033983,    0.033983,  2.04214E+00,  2.03955E+00,    0.422385,    0.422385,           0,   -0.122171,         1.007809,    0.001438, 1.63840E-03, Thu Jun  6 13:57:13 2024
  29,  1.29711E+00,  5.97937E+01, -4.59130E-01,  8.83344E-02,  8.82659E-02,    0.022759,    0.022759,  1.00010E+00,  9.99971E-01,    0.041113,    0.041113,  2.04202E+00,  2.03955E+00,    0.402701,    0.402701,           3,    0.000880,         0.938698,    0.001637, 1.63840E-03, Thu Jun  6 13:57:28 2024
  30,  1.30415E+00,  6.06613E+01,  8.67686E-01,  8.83340E-02,  8.82659E-02,    0.028284,    0.028284,  1.00006E+00,  9.99971E-01,    0.038726,    0.038726,  2.04205E+00,  2.03955E+00,    0.509076,    0.426563,           5,    0.005266,         1.217722,    0.001318, 1.31072E-03, Thu Jun  6 13:58:57 2024
  31,  1.28681E+00,  5.85250E+01, -2.13637E+00,  8.83154E-02,  8.82659E-02,    0.025709,    0.025709,  1.00010E+00,  9.99971E-01,    0.066424,    0.066424,  2.04166E+00,  2.03955E+00,    0.538558,    0.451953,           7,    0.002344,         1.224962,    0.001051, 1.04858E-03, Thu Jun  6 13:59:23 2024
  32,  1.27354E+00,  5.68903E+01, -1.63469E+00,  8.83049E-02,  8.82659E-02,    0.020271,    0.020271,  1.00007E+00,  9.99971E-01,    0.052908,    0.052908,  2.04126E+00,  2.03955E+00,    0.437334,    0.437334,           0,    0.004381,         0.995619,    0.001121, 1.04858E-03, Thu Jun  6 13:59:48 2024
  33,  1.27859E+00,  5.75118E+01,  6.21562E-01,  8.83111E-02,  8.82659E-02,    0.023479,    0.023479,  1.00003E+00,  9.99971E-01,    0.032469,    0.032469,  2.04125E+00,  2.03955E+00,    0.433273,    0.433273,           0,   -0.096124,         1.033785,    0.000948, 1.04858E-03, Thu Jun  6 14:00:07 2024
  34,  1.27566E+00,  5.71513E+01, -3.60512E-01,  8.83100E-02,  8.82659E-02,    0.028636,    0.028636,  1.00005E+00,  9.99971E-01,    0.053444,    0.053444,  2.04117E+00,  2.03955E+00,    0.516439,    0.436719,           6,    0.008497,         1.195853,    0.000832, 8.38861E-04, Thu Jun  6 14:00:19 2024
  35,  1.26539E+00,  5.58864E+01, -1.26494E+00,  8.82968E-02,  8.82659E-02,    0.020072,    0.020072,  1.00005E+00,  9.99971E-01,    0.052281,    0.052281,  2.04090E+00,  2.03955E+00,    0.430437,    0.430437,           3,    0.009664,         0.976929,    0.000831, 8.38861E-04, Thu Jun  6 14:00:30 2024
